METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local occupancy (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......        0.0       -1.4       13.4       28.3      100.0
 2 Pop 2.......        0.0        8.2       18.2       28.1       77.0
 3 Pop 3.......        4.0       20.2       49.7       79.3      100.0
 4 Pop 4.......        0.0        1.9        5.3        8.8        9.0
 5 Pop 5.......        0.0        5.0       37.8       70.6      100.0
 6 Pop 6.......        3.0        9.9       19.3       28.8       67.0
 7 Pop 7.......        8.0       13.4       32.9       52.4      100.0
 8 Pop 8.......        0.0        0.3        4.1        7.8        9.0
 9 Pop 9.......        0.0       -1.9       13.1       28.1      100.0
10 Pop 10......        0.0       -2.4        6.5       15.4       66.0
11 Pop 11......        0.0        7.5       39.8       72.1      100.0
12 Pop 12......        0.0        2.0       28.3       54.6      100.0
13 Pop 13......        0.0       10.7       37.2       63.6      100.0
14 Pop 14......        0.0        1.9        5.3        8.7        9.0
15 Pop 15......        1.0        9.4       18.8       28.2       64.0
16 Pop 16......        0.0        1.9        5.3        8.8        9.0
17 17S3-T1.....        0.0        1.3       11.4       21.4       81.0
18 18S6-T1.....        0.0        1.5       11.4       21.4       60.0
19 19S7-T1.....        0.0        1.3        6.8       12.4       39.0
20 20S7-T1.....        0.0        1.4       10.9       20.4       92.0
21 21S7-T1.....        0.0        1.6       10.9       20.2       64.0
22 22S15-T1....        0.0        1.2       10.3       19.3       67.0
