METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 150.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0010          0.0010          0.0000   0.0290
         4       0.0130          0.0140          0.0000   0.0420
         6       0.0150          0.0290          0.0010   0.0570
         8       0.0130          0.0420          0.0140   0.0700
        10       0.0040          0.0460          0.0180   0.0740
        12       0.0000          0.0460          0.0180   0.0740
        14       0.0000          0.0460          0.0180   0.0740
        16       0.0000          0.0460          0.0180   0.0740
        18       0.0000          0.0460          0.0180   0.0740
        20       0.0000          0.0460          0.0180   0.0740
        22       0.0000          0.0460          0.0180   0.0740
        24       0.0000          0.0460          0.0180   0.0740
        26       0.0000          0.0460          0.0180   0.0740
        28       0.0000          0.0460          0.0180   0.0740
        30       0.0000          0.0460          0.0180   0.0740
        32       0.0000          0.0460          0.0180   0.0740
        34       0.0000          0.0460          0.0180   0.0740
        36       0.0000          0.0460          0.0180   0.0740
        38       0.0000          0.0460          0.0180   0.0740
        40       0.0000          0.0460          0.0180   0.0740
        42       0.0000          0.0460          0.0180   0.0740
        44       0.0000          0.0460          0.0180   0.0740
        46       0.0000          0.0460          0.0180   0.0740
        48       0.0000          0.0460          0.0180   0.0740
        50       0.0000          0.0460          0.0180   0.0740
        52       0.0000          0.0460          0.0180   0.0740
        54       0.0000          0.0460          0.0180   0.0740
        56       0.0000          0.0460          0.0180   0.0740
        58       0.0000          0.0460          0.0180   0.0740
        60       0.0000          0.0460          0.0180   0.0740
        62       0.0000          0.0460          0.0180   0.0740
        64       0.0000          0.0460          0.0180   0.0740
        66       0.0000          0.0460          0.0180   0.0740
        68       0.0000          0.0460          0.0180   0.0740
        70       0.0000          0.0460          0.0180   0.0740
        72       0.0000          0.0460          0.0180   0.0740
        74       0.0000          0.0460          0.0180   0.0740
        76       0.0000          0.0460          0.0180   0.0740
        78       0.0000          0.0460          0.0180   0.0740
        80       0.0000          0.0460          0.0180   0.0740
        82       0.0000          0.0460          0.0180   0.0740
        84       0.0000          0.0460          0.0180   0.0740
        86       0.0000          0.0460          0.0180   0.0740
        88       0.0000          0.0460          0.0180   0.0740
        90       0.0000          0.0460          0.0180   0.0740
        92       0.0000          0.0460          0.0180   0.0740
        94       0.0000          0.0460          0.0180   0.0740
        96       0.0000          0.0460          0.0180   0.0740
        98       0.0000          0.0460          0.0180   0.0740
       100       0.0000          0.0460          0.0180   0.0740
