METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      76.00      76.00      76.00      76.00      76.00
        1      53.00      83.16      92.10     101.05     124.00
        2      49.00      89.61     102.46     115.31     155.00
        3      62.00      94.15     108.70     123.24     164.00
        4      65.00      96.80     111.75     126.69     172.00
        5      64.00      97.25     113.56     129.86     176.00
        6      62.00      97.93     114.14     130.36     166.00
        7      63.00      97.67     113.77     129.87     167.00
        8      63.00      97.28     113.63     129.98     161.00
        9      59.00      96.57     113.12     129.66     172.00
       10      66.00      96.63     112.62     128.60     162.00
       11      61.00      96.36     112.24     128.11     170.00
       12      55.00      95.17     110.96     126.75     163.00
       13      59.00      94.62     110.29     125.96     172.00
       14      59.00      93.45     109.20     124.94     159.00
       15      61.00      92.43     108.35     124.26     166.00
       16      63.00      91.45     107.29     123.14     161.00
       17      59.00      90.74     106.41     122.08     164.00
       18      56.00      90.28     105.97     121.67     160.00
       19      58.00      89.37     104.84     120.31     160.00
       20      58.00      88.95     104.63     120.32     156.00
       21      57.00      88.83     104.41     119.99     169.00
       22      60.00      88.33     103.90     119.47     158.00
       23      55.00      87.91     103.78     119.64     151.00
       24      56.00      86.62     102.69     118.75     153.00
       25      52.00      87.09     102.71     118.32     152.00
       26      55.00      86.03     101.49     116.94     152.00
       27      56.00      85.27     100.71     116.16     159.00
       28      60.00      84.68      99.85     115.03     159.00
       29      60.00      84.12      99.52     114.92     147.00
       30      52.00      83.60      99.34     115.08     157.00
       31      52.00      83.33      99.03     114.73     159.00
       32      53.00      83.32      99.27     115.21     153.00
       33      51.00      83.00      98.73     114.45     157.00
       34      50.00      82.25      97.92     113.59     147.00
       35      53.00      82.41      97.87     113.33     150.00
       36      52.00      82.19      97.73     113.27     148.00
       37      53.00      81.27      97.15     113.04     138.00
       38      50.00      81.25      96.93     112.61     150.00
       39      53.00      80.61      96.10     111.59     147.00
       40      46.00      80.24      96.06     111.88     144.00
