METAPOPULATION MODEL results; Date=8/3/2023 Time=02:38:17
===========================================================
B10




   19 populations (19 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 150.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0100          0.0100          0.0000   0.0380
         6       0.0180          0.0280          0.0000   0.0560
         8       0.0160          0.0440          0.0160   0.0720
        10       0.0100          0.0540          0.0260   0.0820
        12       0.0000          0.0540          0.0260   0.0820
        14       0.0000          0.0540          0.0260   0.0820
        16       0.0000          0.0540          0.0260   0.0820
        18       0.0000          0.0540          0.0260   0.0820
        20       0.0000          0.0540          0.0260   0.0820
        22       0.0000          0.0540          0.0260   0.0820
        24       0.0000          0.0540          0.0260   0.0820
        26       0.0000          0.0540          0.0260   0.0820
        28       0.0000          0.0540          0.0260   0.0820
        30       0.0000          0.0540          0.0260   0.0820
        32       0.0000          0.0540          0.0260   0.0820
        34       0.0000          0.0540          0.0260   0.0820
        36       0.0000          0.0540          0.0260   0.0820
        38       0.0000          0.0540          0.0260   0.0820
        40       0.0000          0.0540          0.0260   0.0820
        42       0.0000          0.0540          0.0260   0.0820
        44       0.0000          0.0540          0.0260   0.0820
        46       0.0000          0.0540          0.0260   0.0820
        48       0.0000          0.0540          0.0260   0.0820
        50       0.0000          0.0540          0.0260   0.0820
        52       0.0000          0.0540          0.0260   0.0820
        54       0.0000          0.0540          0.0260   0.0820
        56       0.0000          0.0540          0.0260   0.0820
        58       0.0000          0.0540          0.0260   0.0820
        60       0.0000          0.0540          0.0260   0.0820
        62       0.0000          0.0540          0.0260   0.0820
        64       0.0000          0.0540          0.0260   0.0820
        66       0.0000          0.0540          0.0260   0.0820
        68       0.0000          0.0540          0.0260   0.0820
        70       0.0000          0.0540          0.0260   0.0820
        72       0.0000          0.0540          0.0260   0.0820
        74       0.0000          0.0540          0.0260   0.0820
        76       0.0000          0.0540          0.0260   0.0820
        78       0.0000          0.0540          0.0260   0.0820
        80       0.0000          0.0540          0.0260   0.0820
        82       0.0000          0.0540          0.0260   0.0820
        84       0.0000          0.0540          0.0260   0.0820
        86       0.0000          0.0540          0.0260   0.0820
        88       0.0000          0.0540          0.0260   0.0820
        90       0.0000          0.0540          0.0260   0.0820
        92       0.0000          0.0540          0.0260   0.0820
        94       0.0000          0.0540          0.0260   0.0820
        96       0.0000          0.0540          0.0260   0.0820
        98       0.0000          0.0540          0.0260   0.0820
       100       0.0000          0.0540          0.0260   0.0820
