METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 550.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0000          0.0000          0.0000   0.0280
         6       0.0100          0.0100          0.0000   0.0380
         8       0.0200          0.0300          0.0020   0.0580
        10       0.0180          0.0480          0.0200   0.0760
        12       0.0230          0.0710          0.0430   0.0990
        14       0.0150          0.0860          0.0580   0.1140
        16       0.0190          0.1050          0.0770   0.1330
        18       0.0060          0.1110          0.0830   0.1390
        20       0.0080          0.1190          0.0910   0.1470
        22       0.0120          0.1310          0.1030   0.1590
        24       0.0050          0.1360          0.1080   0.1640
        26       0.0020          0.1380          0.1100   0.1660
        28       0.0030          0.1410          0.1130   0.1690
        30       0.0030          0.1440          0.1160   0.1720
        32       0.0020          0.1460          0.1180   0.1740
        34       0.0020          0.1480          0.1200   0.1760
        36       0.0020          0.1500          0.1220   0.1780
        38       0.0010          0.1510          0.1230   0.1790
        40       0.0010          0.1520          0.1240   0.1800
        42       0.0000          0.1520          0.1240   0.1800
        44       0.0000          0.1520          0.1240   0.1800
        46       0.0010          0.1530          0.1250   0.1810
        48       0.0000          0.1530          0.1250   0.1810
        50       0.0000          0.1530          0.1250   0.1810
        52       0.0000          0.1530          0.1250   0.1810
        54       0.0020          0.1550          0.1270   0.1830
        56       0.0000          0.1550          0.1270   0.1830
        58       0.0010          0.1560          0.1280   0.1840
        60       0.0000          0.1560          0.1280   0.1840
        62       0.0010          0.1570          0.1290   0.1850
        64       0.0000          0.1570          0.1290   0.1850
        66       0.0000          0.1570          0.1290   0.1850
        68       0.0000          0.1570          0.1290   0.1850
        70       0.0000          0.1570          0.1290   0.1850
        72       0.0000          0.1570          0.1290   0.1850
        74       0.0000          0.1570          0.1290   0.1850
        76       0.0020          0.1590          0.1310   0.1870
        78       0.0020          0.1610          0.1330   0.1890
        80       0.0000          0.1610          0.1330   0.1890
        82       0.0000          0.1610          0.1330   0.1890
        84       0.0010          0.1620          0.1340   0.1900
        86       0.0010          0.1630          0.1350   0.1910
        88       0.0000          0.1630          0.1350   0.1910
        90       0.0000          0.1630          0.1350   0.1910
        92       0.0000          0.1630          0.1350   0.1910
        94       0.0000          0.1630          0.1350   0.1910
        96       0.0000          0.1630          0.1350   0.1910
        98       0.0000          0.1630          0.1350   0.1910
       100       0.0000          0.1630          0.1350   0.1910
